X,Y,المحا,المست,العنو,عدد_ا,المس_1,icon_url
31.0195605010001,30.556779899,محافظة المنوفية,شبين الكوم العسكرى,,"0",Nourhan Sala7,./0.png
31.0120919020001,30.5744774990001,محافظة المنوفية,شبين الكوم التعليمى,,"0",Nourhan Sala7,./0.png
31.138998746,30.552614195,محافظة المنوفية,قويسنا العام,,"0",Nourhan Sala7,./0.png
31.3732542020001,31.0333744010001,محافظة الدقهلية,حميات المنصورة,,"0",Nourhan Sala7,./0.png
31.374854,31.0344633990001,محافظة الدقهلية,الصدر,,"0",Nourhan Sala7,./0.png
29.9470809,31.2068636980001,محافظة الاسكندرية,سموحة الجامعى,,"0",Nourhan Sala7,./0.png
30.0179401020001,31.2726845,محافظة الاسكندرية,صدر المنتزة,,"0",Nourhan Sala7,./0.png
30.0269741700001,31.2671864160001,محافظة الاسكندرية,صدر المعمورة,,"0",Nourhan Sala7,./0.png
31.186803997,30.4656467,محافظة القليوبيه,الصدر فى بنها,,"0",Nourhan Sala7,./0.png
31.2846802020001,30.0663246,محافظة القاهرة,الصدر,,"0",Nourhan Sala7,./0.png
32.6926675010001,25.6539443,محافظة الاقصر,الحميات,,"0",Nourhan Sala7,./0.png
32.2904924010001,31.270390901,محافظة بورسعيد,الحميات,,"0",Nourhan Sala7,./0.png
32.2917949010001,31.2704507010001,محافظة بورسعيد,الصدر,,"0",Nourhan Sala7,./0.png
32.545284683,29.9665793030001,محافظة السويس,الحميات,,"0",Nourhan Sala7,./0.png
32.5459358960001,29.9645410970001,محافظة السويس,الصدر,,"0",Nourhan Sala7,./0.png
33.8184496,27.2198266990001,محافظة البحر الاحم,الحميات بالغردقة,,"0",Nourhan Sala7,./0.png
31.817553699,31.4129615,محافظة دمياط,الصدر,,"0",Nourhan Sala7,./0.png
31.187900998,27.175069099,محافظة اسيوط,الحميات,,"0",Nourhan Sala7,./0.png
31.1766022,27.1946909,محافظة اسيوط,الصدر,,"0",Nourhan Sala7,./0.png
30.9441542010001,31.108802998,محافظة كفر الشيخ,الصدر,,"0",Nourhan Sala7,./0.png
30.944920702,31.1091188990001,محافظة كفر الشيخ,الحميات,,"0",Nourhan Sala7,./0.png
31.6943385970001,26.5607948110001,محافظة سوهاج,الحميات,,"0",Nourhan Sala7,./0.png
31.6935925990001,26.561659499,محافظة سوهاج,الصدر,,"0",Nourhan Sala7,./0.png
30.994308801,30.8015364020001,محافظة الغربية,الصدر,,"0",Nourhan Sala7,./0.png
30.9943429030001,30.785167001,محافظة الغربية,الحميات,,"0",Nourhan Sala7,./0.png
30.559533001,25.4414560010001,محافظة الوادى الجد,الحميات,,"0",Nourhan Sala7,./0.png
30.559767498,25.441231599,محافظة الوادى الجد,الصدر,,"0",Nourhan Sala7,./0.png
30.9256641,30.4710130020001,محافظة المنوفية,الحميات بمنوف,,"0",Nourhan Sala7,./0.png
31.508186101,30.5734587,محافظة الشرقية,الحميات بالزقازيق,,"0",Nourhan Sala7,./0.png
31.5095302240001,30.572372025,محافظة الشرقية,صدر الزقازيق,,"0",Nourhan Sala7,./0.png
30.8428496980001,29.308402098,محافظة الفيوم,الصدر,,"0",Nourhan Sala7,./0.png
30.8315896,29.2964987990001,محافظة الفيوم,الحميات,,"0",Nourhan Sala7,./0.png
32.711284801,26.156762101,محافظة قنا,الحميات,,"0",Nourhan Sala7,./0.png
32.7102309,26.157123201,محافظة قنا,الصدر,,"0",Nourhan Sala7,./0.png
30.4674843,31.0215544010001,محافظة البحيرة,الحميات بدمنهور,,"0",Nourhan Sala7,./0.png
30.753517318,28.093960355,محافظة المنيا,الصدر,,"0",Nourhan Sala7,./0.png
30.7628925980001,28.0876255,محافظة المنيا,الحميات,,"0",Nourhan Sala7,./0.png
32.9089185990001,24.094161801,محافظة اسوان,الصدر,,"0",Nourhan Sala7,./0.png
31.2524874010001,30.063411801,القاهره,القبطى,,"0",Mostafalotfy,./0.png
31.2600001010001,30.0600134,القاهره,السيد جلال الجامعى,,"0",Mostafalotfy,./0.png
30.8319363,28.6553588030001,المنيا,مغاغه المركزى,,"0",Mostafalotfy,./0.png
31.2760542980001,30.073521301,القاهره,الدمرداش,,"0",Mostafalotfy,./0.png
32.425257001,26.092776601,محافظة قنا,الوقف المركزي,,"0",hageer mohamed,./0.png
30.960942765,30.442437995,محافظة المنوفية,سرس الليان العام,,"0",EmanAyman,./0.png
31.0287018010001,30.271867448,محافظة المنوفية,العربي بااشمون,,"0",EmanAyman,./0.png
31.0471247520001,30.5442138450001,محافظة المنوفية,حميات ميت خلف بشبين الكوم,,"0",EmanAyman,./0.png
29.9919861110001,31.262011111,الاسكندرية,شرق المدينة,,"0",AsmaaMokhtar,./0.png
29.8922555560001,31.1788194440001,الاسكندرية,صدر كرموز,,"0",AsmaaMokhtar,./0.png
30.057363889,31.303375,الاسكندرية,التأمين الصحى بطوسون,,"0",AsmaaMokhtar,./0.png
29.9062888890001,31.2011944440001,الاسكندرية,المستشفى الجامعى,,"0",AsmaaMokhtar,./0.png
31.047427778,30.5441222220001,المنوفية,صدر شبين الكوم,,"0",AsmaaMokhtar,./0.png
31.0138916670001,30.577125,المنوفية,معهد الكبد القومى,,"0",AsmaaMokhtar,./0.png
31.0060583330001,30.5556444440001,المنوفية,الهلال الاحمر القومى,,"0",AsmaaMokhtar,./0.png
31.028733333,30.271827778,المنوفية,Elaraby hospital,,"0",AsmaaMokhtar,./0.png
30.9413638890001,30.462741667,المنوفية,التأمين الصحى بمنوف,,"0",AsmaaMokhtar,./0.png
31.450819444,30.179030556,القاهرة,حميات حلوان,,"0",AsmaaMokhtar,./0.png
32.7073083330001,26.1594666670001,قنا,قنا العام,,"0",AsmaaMokhtar,./0.png
32.4752861110001,26.1208055560001,قنا,دشنا المركزى,,"0",AsmaaMokhtar,./0.png
32.2343194440001,26.054819444,قنا,الحميات بنجع حمادى,,"0",AsmaaMokhtar,./0.png
32.8102944440001,25.995816667,قنا,قفط التعليمى,,"0",AsmaaMokhtar,./0.png
31.2933918,30.0642943,القاهرة,حميات العباسية,,"0",AsmaaAhmeed,./0.png
32.899790937,24.0893821280001,قنا,الصداقة,,"0",AsmaaAhmeed,./0.png
32.8931353,24.0761295990001,اسوان,الحميات,,"0",AsmaaAhmeed,./0.png
29.9233674980001,31.1953427990001,الاسكندرية,الحميات,,"0",AsmaaAhmeed,./0.png
33.8098636390001,31.135570048,شمال سيناء,العريش العام,,"0",AsmaaAhmeed,./0.png
31.1261575,30.7323074,الغربية,صدر السنطة,,"0",AsmaaAhmeed,./0.png
31.222865599,30.0801157990001,الجيزة,الصدر امبابة,,"0",AsmaaAhmeed,./0.png
31.2257690010001,30.0838639990001,الجيزة,حميات امبابة,,"0",AsmaaAhmeed,./0.png
31.195440868,29.993575707,الجيزة,الصدر العمرانية,,"0",AsmaaAhmeed,./0.png
31.2313178570001,30.0302601340001,القاهرة,القصر العيني,,"0",AsmaaAhmeed,./0.png
31.2308001,30.0239026990001,القاهرة,المعهد القومي للاورام,,"0",AsmaaAhmeed,./0.png
